sample,group1,group2,GC,PQ,NOU,CH,N,GH,FJ,MP,EP,KT,NT,M,IM,EG,HJ,UW,NU,IQ,K,O,all,FL,DKT,CO,CP,T,P,BQ,CI,OT,FG,C,FP,OU,H,MU,A,F,G,E,I,BK,EQ,Z,DJ,V,DTZ,S,Q,L,GM,FH,B,KO,J,U,DZ,NPTU,D
GCA_000378105.1,seawater,sponge Axinella polypoides,51.6,0,0,0,0.000463822,0,0.000463822,0,0.001391466,0,0,0.071428571,0,0.000927644,0,0,0.003710575,0.002782931,0.031076067,0.035250464,0.000463822,0,0.000463822,0.000463822,0,0.028293135,0.067254174,0,0.000463822,0,0.000463822,0.054730983,0.000927644,0,0.043599258,0.001391466,0,0.024118738,0.038961039,0.073747681,0.023191095,0,0,0.000463822,0,0.015306122,0,0.323283859,0.014842301,0.045918367,0.000927644,0,0,0.000463822,0.065862709,0.019016698,0,0,0.007884972
GCA_000379365.1,soil,,60.6,0,0,0,0.000911577,0.000455789,0.002278943,0,0.000911577,0,0,0.06426618,0,0,0,0,0.001367366,0.001367366,0.032360985,0.037374658,0.000455789,0.000455789,0,0.000455789,0.000911577,0.018231541,0.04603464,0.000455789,0,0.000455789,0.000911577,0.075205105,0.000911577,0.000455789,0.039653601,0.000455789,0,0.02142206,0.039653601,0.063810392,0.019598906,0,0.001823154,0,0,0.015496809,0,0.277575205,0.00911577,0.151777575,0,0,0,0.000455789,0.052871468,0.013217867,0,0,0.006836828
GCA_000526255.1,non,,62.7,0,0,0,0.000994036,0,0.002485089,0,0.000497018,0,0,0.065109344,0,0,0,0,0.000994036,0.001988072,0.031312127,0.040755467,0.000497018,0.000497018,0,0.000497018,0.000994036,0.022862823,0.046222664,0.000497018,0,0.000497018,0.000994036,0.075049702,0.000994036,0.000497018,0.046719682,0.000497018,0,0.026341948,0.042246521,0.074055666,0.021371769,0,0.000994036,0,0.000497018,0.015904573,0,0.286779324,0.008449304,0.100894632,0,0,0,0.000497018,0.057654076,0.01640159,0,0,0.006461233
GCA_000723745.2,non,,53.8,0,0.000537634,0,0.000537634,0,0.000537634,0.000537634,0,0,0,0.067741935,0.001075269,0.001075269,0,0,0.001612903,0.001612903,0.029032258,0.03655914,0.000537634,0,0,0,0,0.01827957,0.057526882,0,0,0,0.000537634,0.058602151,0.000537634,0,0.04516129,0.003763441,0,0.025806452,0.063978495,0.084946237,0.022580645,0,0,0,0,0.020430108,0,0.29516129,0.004301075,0.055376344,0.000537634,0,0.000537634,0.000537634,0.074731183,0.017204301,0,0,0.008064516
GCA_000739615.1,non,,62.5,0,0.000218055,0.000654165,0.00043611,0,0.000654165,0,0,0.001090275,0.000218055,0.047099869,0.000218055,0.001090275,0.000218055,0.000218055,0.00174444,0.002180549,0.054077628,0.034670737,0.000218055,0.000218055,0,0.000654165,0.00043611,0.048408199,0.04361099,0.00043611,0,0,0.00043611,0.038813781,0.000218055,0.00043611,0.02115133,0.006541648,0.000218055,0.014391627,0.056476232,0.049062364,0.018534671,0,0.000654165,0,0,0.016790231,0.000218055,0.43567379,0.011774967,0.034452682,0.000654165,0.000218055,0,0.000218055,0.034234627,0.015481901,0.00087222,0,0.003706934
GCA_000739635.1,non,,60.5,0,0.000552995,0.000368664,0.000737327,0,0.000184332,0,0,0.001105991,0.001105991,0.055668203,0,0.000552995,0,0,0.001474654,0.000921659,0.050138249,0.027096774,0.000184332,0.000184332,0,0.000368664,0,0.056589862,0.042396313,0.000184332,0,0,0.000368664,0.035760369,0.000184332,0.000368664,0.018986175,0.003870968,0.000368664,0.009953917,0.042949309,0.050138249,0.018248848,0,0.000552995,0.000184332,0,0.016221198,0,0.465069124,0.009400922,0.034654378,0.000737327,0,0.000368664,0.000184332,0.028571429,0.01843318,0.000737327,0,0.003870968
GCA_000739655.1,non,,60.8,0,0.000362582,0.000181291,0.000725163,0,0.000362582,0,0.000181291,0.000543872,0.001269036,0.056200145,0,0.000725163,0,0,0.001087745,0.001087745,0.05039884,0.024836838,0.000181291,0.000181291,0,0.000362582,0,0.053662074,0.044597534,0.000181291,0,0,0.000362582,0.037164612,0.000181291,0.000543872,0.018129079,0.003625816,0.000362582,0.009970993,0.042784627,0.047498187,0.019216824,0,0.000543872,0.000181291,0,0.015591008,0,0.471718637,0.011058738,0.03208847,0.000725163,0,0.000362582,0.000181291,0.029369108,0.016678753,0.000725163,0,0.003807107
GCA_000817245.1,acidic hot spring,,40.4,0,0,0,0.00110011,0,0.001650165,0,0,0,0,0.083608361,0,0,0,0,0,0.000550055,0.029152915,0.042354235,0.000550055,0,0,0.00110011,0.00110011,0.024752475,0.057205721,0.000550055,0,0.000550055,0.00110011,0.093509351,0.00110011,0.000550055,0.04730473,0.000550055,0,0.029152915,0.052255226,0.082508251,0.0220022,0,0.001650165,0,0,0.01210121,0,0.262376238,0.00550055,0.051155116,0,0,0,0.000550055,0.068206821,0.017051705,0,0,0.007150715
GCA_000953475.1,volcano,,41.5,0,0,0,0.001114827,0,0.001672241,0,0.000557414,0,0,0.078595318,0,0,0,0,0,0.000557414,0.026755853,0.040691193,0.000557414,0,0,0.000557414,0.001114827,0.022853958,0.058528428,0.000557414,0,0.000557414,0.001114827,0.094760312,0.001114827,0.000557414,0.046265329,0.000557414,0,0.028428094,0.04793757,0.076365663,0.020624303,0,0.001114827,0,0,0.017279822,0,0.252508361,0.006688963,0.081939799,0,0,0,0.000557414,0.065774805,0.014492754,0,0,0.007246377
GCA_000972765.1,non,,61.3,0,0.000375375,0,0.000750751,0,0.000375375,0,0.000750751,0,0,0.06981982,0.000375375,0.001501502,0,0.002252252,0.002627628,0.001126126,0.034159159,0.030780781,0.000375375,0,0,0.000375375,0,0.042042042,0.0503003,0,0,0,0.000750751,0.049924925,0.000375375,0.000750751,0.034534535,0.002252252,0,0.022897898,0.074324324,0.070945946,0.022147147,0,0,0,0.000375375,0.013138138,0,0.326201201,0.00975976,0.046921922,0.001126126,0,0.000750751,0.000375375,0.055555556,0.021771772,0.000750751,0,0.006381381
GCA_001017655.1,salt,hypersaline microbial mat,63.3,0,0.000474834,0,0.000949668,0,0.000949668,0,0.000949668,0,0,0.067426401,0,0.000949668,0,0,0.001899335,0,0.044634378,0.030864198,0.000474834,0,0,0,0,0.034188034,0.059354226,0,0,0.000474834,0.000949668,0.044634378,0.000949668,0.000474834,0.037986705,0.000949668,0,0.02374169,0.057929725,0.070750237,0.018518519,0,0,0,0.000474834,0.011396011,0,0.28679962,0.010921178,0.08974359,0,0,0,0,0.064102564,0.026115859,0.000474834,0.000474834,0.009021842
GCA_001318295.1,roots,grapevine in Idaho(Host: Xiphinema americanum),47.7,0,0,0,0.006711409,0,0.001342282,0,0,0,0,0.08590604,0,0,0,0,0.001342282,0,0.025503356,0.044295302,0.001342282,0,0,0.001342282,0,0.008053691,0.028187919,0,0,0,0.001342282,0.056375839,0,0,0.075167785,0.002684564,0,0.038926174,0.063087248,0.111409396,0.032214765,0,0,0,0,0.009395973,0,0.165100671,0.005369128,0.048322148,0,0,0,0,0.144966443,0.029530201,0,0,0.012080537
GCA_001578645.1,feces,,56.8,0,0.000521105,0,0.000521105,0,0.000521105,0,0,0,0,0.087024492,0.000521105,0.000521105,0,0,0.001563314,0.001563314,0.029181866,0.035956227,0.000521105,0,0,0,0,0.018238666,0.053673788,0,0,0,0.000521105,0.047941636,0.000521105,0,0.044293903,0.004689943,0,0.023970818,0.058884836,0.071912454,0.022407504,0,0,0,0,0.017717561,0,0.321000521,0.005732152,0.055237103,0.001042209,0,0,0.000521105,0.071912454,0.013548723,0,0,0.007816571
GCA_001580015.1,gut,Cephalotes varians,63,0,0.000606428,0.000606428,0.000606428,0,0.000606428,0,0,0,0,0.069132808,0,0.001212856,0,0,0.000606428,0.000606428,0.035172832,0.03577926,0.000606428,0,0,0.000606428,0,0.01637356,0.072771377,0,0,0,0.001212856,0.050333535,0.000606428,0.000606428,0.040024257,0.003032141,0,0.029108551,0.084293511,0.07822923,0.027895694,0,0,0.000606428,0,0.015767132,0,0.261370528,0.010915706,0.050333535,0.001212856,0,0.000606428,0.000606428,0.081867799,0.018192844,0,0,0.007883566
GCA_001580045.1,gut,Cephalotes varians,60.5,0,0.000659631,0,0.000659631,0,0,0,0.000659631,0,0,0.071899736,0,0.001978892,0,0,0.000659631,0.001319261,0.029683377,0.040237467,0.000659631,0,0,0.000659631,0,0.013852243,0.071240106,0,0,0,0.001319261,0.057387863,0.000659631,0.000659631,0.049472296,0.003298153,0,0.029683377,0.075197889,0.082453826,0.025725594,0,0,0,0,0.019129288,0,0.244063325,0.012532982,0.050791557,0.000659631,0,0.001319261,0.000659631,0.086411609,0.016490765,0,0,0.007915567
GCA_001580195.1,feces,,56.9,0,0.000519751,0,0.000519751,0,0.000519751,0,0,0,0,0.086798337,0.001039501,0.000519751,0,0,0.001559252,0.001559252,0.029106029,0.033264033,0.000519751,0,0,0,0,0.018711019,0.054573805,0,0,0,0.000519751,0.047817048,0.000519751,0,0.043139293,0.004158004,0,0.022869023,0.05977131,0.073804574,0.022869023,0,0,0,0,0.017671518,0,0.321725572,0.005717256,0.054054054,0.001039501,0,0,0.000519751,0.072245322,0.014553015,0,0,0.007796258
GCA_001613545.1,straw,rotted rice,60.2,0.00059312,0.00029656,0.00059312,0.00029656,0,0.00088968,0,0.00029656,0.001779359,0.00088968,0.06346382,0,0.00059312,0,0,0.00088968,0.00059312,0.06109134,0.025207592,0.00029656,0.00029656,0,0.00029656,0.00029656,0.045966785,0.045670225,0.00029656,0,0,0.00059312,0.049228944,0,0,0.024317912,0.004448399,0,0.017497034,0.077995255,0.067615658,0.020166074,0,0,0.00029656,0,0.017200474,0,0.362099644,0.010676157,0.025800712,0.00059312,0,0.00059312,0.00059312,0.039739027,0.024317912,0,0,0.005634638
GCA_001647615.1,gut,,56.9,0,0.000518941,0,0.000518941,0,0.000518941,0,0,0,0,0.084587442,0.001037883,0.000518941,0,0,0.001556824,0.001556824,0.029060716,0.036844837,0.000518941,0,0,0,0,0.018162948,0.05345096,0,0,0,0.000518941,0.047742605,0.000518941,0,0.043591074,0.004670472,0,0.023352361,0.058121432,0.074208614,0.02283342,0,0,0,0,0.018162948,0,0.323300467,0.005708355,0.05345096,0.001037883,0,0,0.000518941,0.072132849,0.013492475,0,0,0.00778412
GCA_001650175.1,gut,Reticulitermes chinensis,62.5,0,0.000236967,0,0.006872038,0,0.000236967,0.000236967,0.000947867,0.000236967,0.000473934,0.050473934,0,0.001184834,0,0.0007109,0.001184834,0.001184834,0.0507109,0.024170616,0.000236967,0.000236967,0,0.000236967,0.000473934,0.031753555,0.069668246,0,0,0,0.000473934,0.041232227,0.000236967,0.000236967,0.026066351,0.009004739,0,0.014691943,0.096208531,0.061848341,0.020616114,0,0,0.000473934,0,0.013033175,0,0.342417062,0.009241706,0.059004739,0.000473934,0,0.000236967,0.0007109,0.036966825,0.020616114,0.0007109,0,0.004028436
GCA_001653815.2,host,termite,60.9,0,0,0,0.008765146,0,0.000257798,0,0,0.000773395,0.001031194,0.040989946,0.000257798,0.000773395,0,0.000257798,0.00154679,0.000773395,0.076050528,0.023975251,0.000257798,0.000515597,0,0.000257798,0.001031194,0.031967002,0.034287187,0,0,0,0.000515597,0.049239495,0.000257798,0.000257798,0.028100026,0.004124774,0,0.015210106,0.070378964,0.0644496,0.019850477,0,0,0.000773395,0,0.013663315,0,0.367362722,0.011600928,0.06135602,0.000515597,0,0.000257798,0.000257798,0.039958752,0.021912864,0.000257798,0,0.005929363
GCA_001653825.2,host,termite,60.8,0,0,0,0.008179959,0,0.000255624,0,0,0.001022495,0.000766871,0.04396728,0.000255624,0.000766871,0,0.000255624,0.001278119,0.000766871,0.075408998,0.023773006,0.000255624,0.000766871,0,0.000255624,0.000511247,0.028629857,0.035787321,0,0,0,0.000511247,0.049846626,0,0.000255624,0.026584867,0.00408998,0.000511247,0.015848671,0.068762781,0.065184049,0.020449898,0,0,0,0,0.013803681,0,0.363241309,0.011758691,0.064672802,0.000511247,0,0.000255624,0.000255624,0.040644172,0.023517382,0.000255624,0,0.006134969
GCA_001683795.1,feces,reticulated python,57.7,0,0.000530786,0,0.000530786,0,0.000530786,0.001061571,0.001061571,0,0,0.069002123,0.000530786,0.000530786,0,0,0.001592357,0.001592357,0.025477707,0.04670913,0.000530786,0,0,0.000530786,0,0.015923567,0.048301486,0,0,0,0.000530786,0.043524416,0.000530786,0,0.043524416,0.005838641,0,0.027600849,0.063163482,0.074309979,0.023354565,0,0,0.000530786,0,0.014861996,0,0.328025478,0.003184713,0.058917197,0,0,0,0.000530786,0.072186837,0.016454352,0,0,0.008492569
GCA_001688765.2,host,mouse,55.7,0,0.000542299,0,0.000542299,0,0.000542299,0.000542299,0,0,0,0.073210412,0.001626898,0.001084599,0,0,0.001626898,0.001626898,0.030368764,0.034164859,0.000542299,0,0,0,0,0.01681128,0.052060738,0,0,0,0.000542299,0.054772234,0.000542299,0,0.045010846,0.003253796,0,0.023861171,0.056399132,0.079175705,0.021691974,0,0,0,0,0.017353579,0,0.317245119,0.004338395,0.062906725,0.000542299,0,0.000542299,0.000542299,0.073210412,0.015726681,0,0,0.007049892
GCA_001746835.1,freshwater,surface,66.5,0,0.000322061,0,0.009661836,0,0.000644122,0,0,0,0.001288245,0.065056361,0,0.001288245,0,0.000322061,0.00257649,0.000966184,0.033494364,0.031239936,0.000322061,0.000322061,0,0.000322061,0.000322061,0.05668277,0.051207729,0.000322061,0,0,0.000644122,0.051207729,0.000322061,0.000322061,0.025764895,0.001610306,0,0.024798712,0.063123994,0.071175523,0.020289855,0,0,0,0,0.019967794,0,0.350724638,0.009339775,0.031884058,0.000644122,0,0.000644122,0.000322061,0.04863124,0.016425121,0,0,0.005797101
GCA_002161325.1,host,caecum(Host: Gallus gallus),55.7,0,0.000545852,0,0.000545852,0,0.000545852,0.001091703,0,0.000545852,0,0.073144105,0.001091703,0.001091703,0,0,0.001637555,0.001637555,0.030021834,0.033296943,0.000545852,0,0,0,0,0.015283843,0.05731441,0,0,0,0.000545852,0.056222707,0.000545852,0,0.043668122,0.003275109,0,0.02510917,0.054039301,0.080786026,0.023471616,0,0,0,0,0.020742358,0,0.31441048,0.005458515,0.056222707,0.000545852,0,0.000545852,0.000545852,0.074781659,0.014737991,0,0,0.006004367
GCA_002310495.1,freshwater,,62.2,0,0.00030021,0,0.009606725,0,0.00030021,0,0.00030021,0.00030021,0.00090063,0.064244971,0,0.00090063,0,0,0.001501051,0.001501051,0.044130892,0.032122486,0.00030021,0.00030021,0,0.00030021,0.00030021,0.072350645,0.054638247,0,0.00030021,0,0.00090063,0.041429,0.00030021,0.00030021,0.028219754,0.001200841,0.00030021,0.018613029,0.070249174,0.062443711,0.02131492,0,0,0.001200841,0,0.017111978,0,0.336235365,0.007805464,0.032722906,0.00030021,0,0.00030021,0.00030021,0.053137196,0.014710297,0.00060042,0,0.005703993
GCA_002884915.1,gut,homo,58,0,0.000510986,0,0.000510986,0,0.000510986,0,0,0.000510986,0,0.085845682,0.001532959,0.001021972,0,0,0.001532959,0.001532959,0.027593255,0.034236076,0.000510986,0.000510986,0,0,0,0.0148186,0.05109862,0,0,0,0.000510986,0.048032703,0.000510986,0.000510986,0.048032703,0.006131834,0,0.023505365,0.057741441,0.075625958,0.020439448,0,0,0.000510986,0,0.017373531,0,0.322432294,0.006642821,0.056719469,0.000510986,0,0,0.000510986,0.068472151,0.015840572,0,0,0.007664793
GCA_002884975.1,gut,homo,58.3,0,0.000516529,0,0.000516529,0,0.000516529,0,0,0,0,0.085227273,0.001549587,0.001033058,0,0,0.001549587,0.001549587,0.026342975,0.035640496,0.000516529,0.000516529,0,0,0,0.016528926,0.049586777,0,0,0,0.000516529,0.049070248,0.000516529,0,0.047520661,0.007231405,0,0.02427686,0.05785124,0.073863636,0.021177686,0,0,0.000516529,0,0.018078512,0,0.319731405,0.006714876,0.055268595,0.000516529,0,0,0.000516529,0.070764463,0.016528926,0,0,0.007747934
GCA_002884995.1,gut,homo,57.8,0,0.000493097,0,0.000493097,0,0.000493097,0,0,0.000493097,0,0.081854043,0.00147929,0.000986193,0,0,0.00147929,0.00147929,0.030078895,0.034516765,0.000493097,0.000493097,0,0,0,0.013313609,0.049802761,0,0,0,0.000493097,0.047830375,0.000493097,0.000493097,0.045857988,0.004930966,0,0.023668639,0.056213018,0.075936884,0.020710059,0,0,0,0,0.016765286,0,0.333333333,0.006410256,0.059171598,0.000493097,0,0,0.000493097,0.065088757,0.015285996,0,0,0.008382643
GCA_002885015.1,gut,homo,57.8,0,0.000500751,0,0.000500751,0,0.000500751,0,0,0,0,0.083625438,0.001502253,0.001001502,0,0,0.001502253,0.001502253,0.027541312,0.036054081,0.000500751,0,0,0,0,0.015523285,0.051577366,0,0,0,0.000500751,0.052078117,0.000500751,0.000500751,0.047070606,0.006509765,0,0.024036054,0.055583375,0.074611918,0.021031547,0,0,0,0,0.018527792,0,0.326990486,0.006509765,0.053580371,0.000500751,0,0.000500751,0.000500751,0.066099149,0.015022534,0,0,0.007511267
GCA_002885025.1,gut,homo,57.9,0,0.000492368,0,0.000492368,0,0.000492368,0,0,0.000492368,0,0.081240768,0.000984737,0.000984737,0,0,0.000984737,0.001477105,0.029542097,0.03446578,0.000492368,0.000492368,0,0,0,0.01427868,0.049236829,0,0,0,0.000492368,0.048252093,0.000492368,0,0.045297883,0.005908419,0,0.022648941,0.058099458,0.076809453,0.022156573,0,0,0,0,0.016740522,0,0.33431807,0.005908419,0.056622354,0.000492368,0,0,0.000492368,0.066469719,0.015263417,0,0,0.007385524
GCA_002885075.1,gut,mouse,58.1,0,0.00050025,0,0.00050025,0,0.00050025,0,0,0,0,0.083041521,0.00150075,0.0010005,0,0,0.00150075,0.0010005,0.031515758,0.034517259,0.00050025,0.00050025,0,0,0,0.014507254,0.051025513,0,0,0,0.00050025,0.051025513,0,0,0.046023012,0.006503252,0,0.023511756,0.056528264,0.076538269,0.020010005,0,0,0,0,0.019009505,0,0.329164582,0.007003502,0.053026513,0,0,0.00050025,0.00050025,0.065032516,0.015507754,0,0,0.007503752
GCA_002885095.1,gut,homo,58.1,0,0.0005,0,0.0005,0,0.0005,0,0,0,0,0.0855,0.0015,0.001,0,0,0.001,0.0015,0.0305,0.0345,0.0005,0.0005,0,0,0,0.0145,0.052,0,0,0,0.0005,0.0525,0.0005,0,0.0455,0.006,0,0.023,0.057,0.0755,0.019,0,0,0,0,0.018,0,0.3275,0.007,0.0535,0.0005,0,0.0005,0.0005,0.0655,0.0155,0,0,0.0075
GCA_002885105.1,gut,homo,57.8,0,0.000573066,0,0,0,0.000573066,0,0,0,0,0.084240688,0.001719198,0.001146132,0,0,0.002292264,0.000573066,0.029799427,0.036676218,0.000573066,0.000573066,0,0,0,0.021776504,0.055587393,0,0,0,0.000573066,0.048710602,0.000573066,0.000573066,0.040114613,0.005157593,0,0.026361032,0.056733524,0.077363897,0.023495702,0,0,0.000573066,0,0.014899713,0,0.314613181,0.007449857,0.055014327,0,0,0,0.000573066,0.068767908,0.014899713,0,0,0.007449857
GCA_002885135.1,gut,homo,58.1,0,0.000573066,0,0.000573066,0,0.000573066,0,0,0,0,0.081375358,0.001719198,0.001146132,0,0,0.001719198,0.001146132,0.029799427,0.036676218,0.000573066,0.000573066,0,0,0,0.017191977,0.055014327,0,0,0,0.000573066,0.044126074,0.000573066,0,0.04469914,0.005157593,0,0.0252149,0.058452722,0.080802292,0.02234957,0,0,0,0,0.016045845,0,0.31747851,0.008022923,0.055014327,0,0,0,0.000573066,0.06991404,0.014326648,0,0,0.008022923
GCA_002885155.1,gut,homo,55.6,0,0.000532198,0,0.000532198,0,0.000532198,0.000532198,0,0.000532198,0,0.072911123,0.001596594,0.001064396,0,0.000532198,0.001596594,0.001596594,0.030867483,0.035125067,0.000532198,0,0,0,0,0.017562533,0.050558808,0,0,0,0.000532198,0.054284194,0.000532198,0,0.045769026,0.003725386,0,0.022884513,0.055880788,0.079829697,0.023948909,0,0,0,0,0.024481107,0,0.312932411,0.004257584,0.057477382,0.000532198,0,0.000532198,0.000532198,0.071314529,0.015965939,0,0,0.00798297
GCA_002885165.1,gut,homo,55.4,0,0.000538503,0,0.000538503,0,0.000538503,0.001077006,0,0,0,0.070543888,0.001077006,0.001077006,0,0,0.001615509,0.001615509,0.031233172,0.033387184,0.000538503,0,0,0,0,0.017770598,0.057081314,0,0,0,0.000538503,0.056542811,0.000538503,0,0.044695746,0.004308024,0,0.024232633,0.055465805,0.080775444,0.021540118,0,0,0,0,0.021540118,0,0.312331718,0.004846527,0.057081314,0.000538503,0,0.000538503,0.000538503,0.072159397,0.016155089,0,0,0.007000539
GCA_002885215.1,gut,homo,55.3,0,0.000536769,0,0.000536769,0,0.000536769,0.000536769,0,0,0,0.06763285,0.001073537,0.001073537,0,0,0.001610306,0.001610306,0.030059045,0.034889962,0.000536769,0,0,0,0,0.016639828,0.056897477,0,0,0,0.000536769,0.055287171,0.000536769,0,0.045088567,0.004294149,0,0.024154589,0.056897477,0.081588835,0.022007515,0,0,0,0,0.025228127,0,0.308105207,0.004294149,0.062265164,0.000536769,0,0.000536769,0.000536769,0.070316694,0.01610306,0,0,0.007514761
